submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
401539,Prayas,0.747 (1),0.735 (1),0.732 (1),0.710 (1),0.762 (1),0.743 (1),0.732 (3),0.729 (4),0.765 (2),0.761 (3),
431858,mhjabreel,0.734 (2),0.722 (2),0.720 (2),0.696 (2),0.723 (5),0.698 (6),0.741 (2),0.740 (2),0.754 (6),0.752 (5),
436390,CZWin32768,0.729 (3),0.719 (3),0.711 (3),0.687 (5),0.734 (2),0.715 (2),0.713 (7),0.718 (7),0.759 (4),0.754 (4),
409761,vineet.john,0.727 (4),0.717 (5),0.709 (4),0.687 (6),0.716 (8),0.696 (8),0.728 (5),0.733 (3),0.757 (5),0.751 (6),
861517,navjots121,0.722 (5),0.712 (6),0.705 (5),0.693 (3),0.727 (3),0.703 (4),0.690 (9),0.690 (9),0.767 (1),0.764 (2),
400815,Emkay,0.722 (6),0.712 (7),0.705 (6),0.692 (4),0.726 (4),0.703 (5),0.690 (9),0.690 (9),0.767 (1),0.764 (2),
405745,EgorLakomkin,0.721 (7),0.717 (4),0.678 (12),0.665 (10),0.698 (13),0.686 (10),0.744 (1),0.750 (1),0.763 (3),0.767 (1),
404636,sreeIN,0.715 (8),0.707 (8),0.701 (7),0.682 (7),0.705 (10),0.683 (12),0.716 (6),0.722 (6),0.740 (8),0.742 (8),
402860,venkatesh-1729,0.715 (9),0.702 (9),0.678 (11),0.654 (12),0.705 (11),0.684 (11),0.728 (4),0.728 (5),0.749 (7),0.744 (7),
406304,hardik.meisheri,0.705 (10),0.692 (10),0.677 (13),0.657 (11),0.723 (6),0.705 (3),0.710 (8),0.705 (8),0.711 (11),0.702 (13),
861560,Synapse,0.685 (11),0.671 (12),0.692 (8),0.674 (8),0.699 (12),0.679 (14),0.642 (14),0.640 (15),0.706 (16),0.692 (17),
403268,vlaand,0.683 (12),0.667 (15),0.680 (9),0.653 (13),0.717 (7),0.695 (9),0.625 (18),0.619 (18),0.709 (14),0.700 (15),
401601,IITP,0.682 (13),0.671 (13),0.649 (17),0.630 (17),0.713 (9),0.696 (7),0.657 (12),0.655 (12),0.709 (15),0.701 (14),
426891,Yunqi,0.680 (14),0.673 (11),0.665 (15),0.649 (14),0.669 (17),0.658 (16),0.667 (10),0.669 (10),0.721 (10),0.715 (10),
425865,kamal_nayan,0.678 (15),0.670 (14),0.680 (10),0.666 (9),0.697 (15),0.681 (13),0.634 (16),0.638 (16),0.700 (17),0.693 (16),
401786,YZU-NLP,0.677 (16),0.665 (16),0.666 (14),0.641 (15),0.677 (16),0.655 (17),0.658 (11),0.652 (13),0.709 (13),0.713 (11),
401531,HPCC,0.671 (17),0.660 (17),0.661 (16),0.639 (16),0.697 (14),0.678 (15),0.599 (19),0.594 (21),0.729 (9),0.729 (9),
423472,zibakh,0.650 (18),0.645 (18),0.633 (19),0.620 (18),0.620 (22),0.607 (21),0.634 (15),0.642 (14),0.711 (12),0.712 (12),
421941,AK,0.650 (19),0.645 (19),0.633 (19),0.620 (18),0.620 (23),0.607 (22),0.634 (15),0.642 (14),0.711 (12),0.712 (12),
404838,felipebravom,0.648 (20),0.641 (20),0.639 (18),0.615 (19),0.652 (19),0.635 (18),0.654 (13),0.662 (11),0.648 (21),0.651 (21),
401641,Brun,0.638 (21),0.628 (21),0.629 (20),0.610 (20),0.657 (18),0.626 (20),0.594 (20),0.596 (20),0.672 (19),0.678 (19),
426665,Charles.Chen,0.631 (22),0.615 (23),0.609 (21),0.588 (21),0.625 (21),0.597 (23),0.629 (17),0.622 (17),0.661 (20),0.654 (20),
401311,dbusca,0.619 (23),0.623 (22),0.580 (22),0.575 (22),0.639 (20),0.630 (19),0.583 (21),0.601 (19),0.676 (18),0.686 (18),
400383,kakachaguan,0.571 (24),0.558 (24),0.550 (23),0.528 (23),0.576 (24),0.535 (24),0.556 (22),0.565 (22),0.603 (22),0.606 (22),
401091,epochx,0.522 (25),0.506 (25),0.470 (26),0.439 (26),0.561 (25),0.528 (25),0.537 (23),0.531 (23),0.520 (25),0.525 (25),
401103,hkh,0.494 (26),0.485 (27),0.486 (25),0.476 (25),0.512 (27),0.498 (27),0.429 (27),0.426 (28),0.550 (23),0.540 (24),
401266,heukirne,0.483 (27),0.486 (26),0.508 (24),0.516 (24),0.460 (29),0.446 (29),0.425 (28),0.427 (27),0.541 (24),0.556 (23),
406079,amouma,0.482 (28),0.477 (28),0.423 (27),0.425 (27),0.524 (26),0.524 (26),0.490 (25),0.470 (25),0.492 (27),0.490 (27),
400503,gnem,0.468 (29),0.465 (29),0.412 (28),0.407 (28),0.511 (28),0.495 (28),0.437 (26),0.455 (26),0.513 (26),0.505 (26),
444661,ychsing,0.294 (30),0.271 (31),0.316 (29),0.259 (29),0.281 (30),0.272 (30),0.249 (29),0.243 (29),0.330 (28),0.309 (28),
401442,ghpaetzold,0.291 (31),0.279 (30),0.277 (30),0.258 (30),0.109 (31),0.095 (31),0.517 (24),0.510 (24),0.259 (29),0.252 (29),
401294,vinayakumarr88,0.076 (32),0.071 (32),0.176 (31),0.155 (31),0.023 (32),0.011 (32),-0.019 (31),0.008 (31),0.124 (30),0.108 (30),
423243,ellfae,-0.009 (33),-0.018 (33),0.002 (32),-0.003 (32),-0.052 (33),-0.066 (33),0.022 (30),0.021 (30),-0.009 (31),-0.023 (31),
