@relation 'anger_test-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.AllFilter-weka.filters.unsupervised.attribute.TweetToLexiconFeatureVector-F-D-R-A-T-L-N-P-J-H-Q-red-stan-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-I1-U-tokenizerweka.core.tokenizers.TweetNLPTokenizer-weka.filters.unsupervised.attribute.TweetToSentiStrengthFeatureVector-L/home/prachuryya/wekafiles/packages/AffectiveTweets/lexicons/SentiStrength/english-red-stan-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-I1-U-tokenizerweka.core.tokenizers.TweetNLPTokenizer-weka.filters.MultiFilter-Fweka.filters.AllFilter-Fweka.filters.unsupervised.attribute.TweetToLexiconFeatureVector -F -D -R -A -T -L -N -P -J -H -Q -red -stan -stemmer weka.core.stemmers.NullStemmer -stopwords-handler \"weka.core.stopwords.Null \" -I 1 -U -tokenizer \"weka.core.tokenizers.TweetNLPTokenizer \"-Fweka.filters.unsupervised.attribute.TweetToSentiStrengthFeatureVector -L /home/prachuryya/wekafiles/packages/AffectiveTweets/lexicons/SentiStrength/english -red -stan -stemmer weka.core.stemmers.NullStemmer -stopwords-handler \"weka.core.stopwords.Null \" -I 1 -U -tokenizer \"weka.core.tokenizers.TweetNLPTokenizer \"-weka.filters.unsupervised.attribute.Remove-R1_predicted'

@attribute predictedscore numeric
@attribute score numeric
@attribute mpqa-posCount numeric
@attribute mpqa-negCount numeric
@attribute BingLiu-posCount numeric
@attribute BingLiu-negCount numeric
@attribute AFINN-posScore numeric
@attribute AFINN-negScore numeric
@attribute S140-posScore numeric
@attribute S140-negScore numeric
@attribute NRC-Hash-Sent-posScore numeric
@attribute NRC-Hash-Sent-negScore numeric
@attribute NRC-10-anger numeric
@attribute NRC-10-anticipation numeric
@attribute NRC-10-disgust numeric
@attribute NRC-10-fear numeric
@attribute NRC-10-joy numeric
@attribute NRC-10-sadness numeric
@attribute NRC-10-surprise numeric
@attribute NRC-10-trust numeric
@attribute NRC-10-negative numeric
@attribute NRC-10-positive numeric
@attribute NRC-10-Expanded-anger numeric
@attribute NRC-10-Expanded-anticipation numeric
@attribute NRC-10-Expanded-disgust numeric
@attribute NRC-10-Expanded-fear numeric
@attribute NRC-10-Expanded-joy numeric
@attribute NRC-10-Expanded-sadness numeric
@attribute NRC-10-Expanded-surprise numeric
@attribute NRC-10-Expanded-trust numeric
@attribute NRC-10-Expanded-negative numeric
@attribute NRC-10-Expanded-positive numeric
@attribute NRC-Hash-Emo-anger numeric
@attribute NRC-Hash-Emo-anticipation numeric
@attribute NRC-Hash-Emo-disgust numeric
@attribute NRC-Hash-Emo-fear numeric
@attribute NRC-Hash-Emo-joy numeric
@attribute NRC-Hash-Emo-sadness numeric
@attribute NRC-Hash-Emo-surprise numeric
@attribute NRC-Hash-Emo-trust numeric
@attribute SentiWordnet-posScore numeric
@attribute SentiWordnet-negScore numeric
@attribute Emoticons-posScore numeric
@attribute Emoticons-negScore numeric
@attribute Negation-negationCount numeric
@attribute SentiStrength-posScore numeric
@attribute SentiStrength-negScore numeric
@attribute anger_cnn numeric
@attribute fear_cnn numeric
@attribute joy_cnn numeric
@attribute sadness_cnn numeric

@data
0.461312,0.319,2,0,0,0,2,0,1.655,-4.068,3.769,-3.574,0,0,0,0,1,0,0,1,0,1,1.110846,0.778951,0.820564,1.29856,0.37923,0.724126,0.41645,1.069414,4.263708,1.788347,1.980943,0.513937,0.479515,0.681552,2.067808,0.873775,0.522871,0.790788,1.289205,-0.775947,0,0,0,2,-1,0.423663,0.603468,0.363505,0.534324
0.194922,0.144,0,1,0,0,0,0,0.364,-0.46,2.166,-0.873,0,0,0,0,0,0,0,0,0,0,0.34114,0.228214,0.133058,0.195641,0.205394,0.088447,0.134022,0.283069,0.76586,0.667486,0,1.029534,0,0.925396,0.784297,0.148301,0.127967,0,0.084524,-0.708333,0,0,0,2,-1,0.182433,0.548793,0.445232,0.375494
0.525109,0.898,0,4,0,1,0,-4,1.32,-5.291,1.301,-3.293,0,1,0,0,0,0,0,0,0,0,1.621815,0.947681,1.002359,0.857084,0.794994,0.818316,0.514677,0.74395,4.655482,2.426657,3.576477,0.601306,0.475939,0.476477,0.304085,0.061785,0.640777,0,0.286792,-3.5375,0,0,0,2,-3,0.500258,0.383229,0.481058,0.387661
0.423167,0.271,1,1,1,1,2,0,1.991,-3.028,3.584,-3.103,0,0,0,0,1,0,0,1,0,1,1.071772,0.72045,0.732167,0.838431,0.672644,0.634459,0.504451,1.080705,3.5889,2.207502,1.311041,0.061206,1.224264,0.308774,0.254891,0,0.320717,0,1.290774,-1.20928,0,0,1,3,-1,0.388233,0.551216,0.482539,0.518744
0.563905,0.646,0,0,0,0,0,0,3.307,-2.975,2.01,-3.671,0,0,0,0,0,0,0,0,0,0,0.962833,1.228167,0.531353,0.743561,1.066191,0.505545,0.663601,1.318938,3.262617,2.728934,1.221033,0.200237,0.251013,0.209638,0.0245,0,0.305129,0.230893,0.224302,-0.125,0,0,1,1,-1,0.561503,0.493746,0.227057,0.633519
0.602264,0.583,0,0,0,0,0,0,3.307,-2.975,2.01,-5.62,0,0,0,0,0,0,0,0,0,0,0.962833,1.228167,0.531353,0.743561,1.066191,0.505545,0.663601,1.318938,3.262617,2.728934,2.075584,0.200237,0.782714,0.209638,0.0245,0.141141,0.305129,0.230893,0.224302,-0.125,0,0,1,1,-2,0.64672,0.574754,0.193763,0.613931
0.486587,0.375,0,2,0,1,0,-2,0.523,-3.717,1.889,-1.773,1,0,0,0,0,0,0,0,1,1,0.966044,0.681885,0.650117,0.742693,0.379332,0.551558,0.269185,0.441264,2.866796,1.161169,2.085651,0.19435,0,0.097743,0.345204,0.25697,1.555713,0,1.103453,-0.639583,0,0,1,1,-4,0.454075,0.369065,0.339314,0.619507
0.610248,0.625,0,0,0,0,0,0,0.394,-5.057,2.127,-3.38,0,1,0,0,1,1,0,0,1,1,0.425204,0.567479,0.363592,0.408827,0.268306,0.248508,0.25348,0.455189,1.742925,0.864932,1.69497,1.329206,0,1.681998,1.297278,1.89014,1.168904,0.077221,0.166667,-0.270833,0,0,1,1,-4,0.621262,0.569148,0.32623,0.582312
0.362202,0.396,0,0,0,0,0,0,0.394,-5.057,2.127,-2.355,0,1,0,0,1,1,0,0,1,1,0.425204,0.567479,0.363592,0.408827,0.268306,0.248508,0.25348,0.455189,1.742925,0.864932,0.265371,1.329206,0,1.681998,1.297278,1.89014,1.168904,0.077221,0.166667,-0.270833,0,0,1,1,-1,0.306009,0.513065,0.46068,0.511181
0.407675,0.25,1,1,1,1,2,0,3.975,-3.694,1.784,-2.077,0,0,0,0,1,1,1,1,1,1,0.744242,0.68792,0.633365,0.679151,0.640543,0.571222,0.555474,0.666336,2.922356,1.496988,0.80119,0.702596,0.946593,0.126651,2.500817,0.25697,0,0.410452,0.573428,-0.854167,0,0,1,3,-1,0.406322,0.473958,0.278139,0.346243
