@relation 'anger_test-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.AllFilter-weka.filters.unsupervised.attribute.TweetToLexiconFeatureVector-F-D-R-A-T-L-N-P-J-H-Q-red-stan-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-I1-U-tokenizerweka.core.tokenizers.TweetNLPTokenizer-weka.filters.unsupervised.attribute.TweetToSentiStrengthFeatureVector-L/home/prachuryya/wekafiles/packages/AffectiveTweets/lexicons/SentiStrength/english-red-stan-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-I1-U-tokenizerweka.core.tokenizers.TweetNLPTokenizer-weka.filters.MultiFilter-Fweka.filters.AllFilter-Fweka.filters.unsupervised.attribute.TweetToLexiconFeatureVector -F -D -R -A -T -L -N -P -J -H -Q -red -stan -stemmer weka.core.stemmers.NullStemmer -stopwords-handler \"weka.core.stopwords.Null \" -I 1 -U -tokenizer \"weka.core.tokenizers.TweetNLPTokenizer \"-Fweka.filters.unsupervised.attribute.TweetToSentiStrengthFeatureVector -L /home/prachuryya/wekafiles/packages/AffectiveTweets/lexicons/SentiStrength/english -red -stan -stemmer weka.core.stemmers.NullStemmer -stopwords-handler \"weka.core.stopwords.Null \" -I 1 -U -tokenizer \"weka.core.tokenizers.TweetNLPTokenizer \"-weka.filters.unsupervised.attribute.Remove-R1_predicted'

@attribute predictedscore numeric
@attribute score numeric
@attribute mpqa-posCount numeric
@attribute mpqa-negCount numeric
@attribute BingLiu-posCount numeric
@attribute BingLiu-negCount numeric
@attribute AFINN-posScore numeric
@attribute AFINN-negScore numeric
@attribute S140-posScore numeric
@attribute S140-negScore numeric
@attribute NRC-Hash-Sent-posScore numeric
@attribute NRC-Hash-Sent-negScore numeric
@attribute NRC-10-anger numeric
@attribute NRC-10-anticipation numeric
@attribute NRC-10-disgust numeric
@attribute NRC-10-fear numeric
@attribute NRC-10-joy numeric
@attribute NRC-10-sadness numeric
@attribute NRC-10-surprise numeric
@attribute NRC-10-trust numeric
@attribute NRC-10-negative numeric
@attribute NRC-10-positive numeric
@attribute NRC-10-Expanded-anger numeric
@attribute NRC-10-Expanded-anticipation numeric
@attribute NRC-10-Expanded-disgust numeric
@attribute NRC-10-Expanded-fear numeric
@attribute NRC-10-Expanded-joy numeric
@attribute NRC-10-Expanded-sadness numeric
@attribute NRC-10-Expanded-surprise numeric
@attribute NRC-10-Expanded-trust numeric
@attribute NRC-10-Expanded-negative numeric
@attribute NRC-10-Expanded-positive numeric
@attribute NRC-Hash-Emo-anger numeric
@attribute NRC-Hash-Emo-anticipation numeric
@attribute NRC-Hash-Emo-disgust numeric
@attribute NRC-Hash-Emo-fear numeric
@attribute NRC-Hash-Emo-joy numeric
@attribute NRC-Hash-Emo-sadness numeric
@attribute NRC-Hash-Emo-surprise numeric
@attribute NRC-Hash-Emo-trust numeric
@attribute SentiWordnet-posScore numeric
@attribute SentiWordnet-negScore numeric
@attribute Emoticons-posScore numeric
@attribute Emoticons-negScore numeric
@attribute Negation-negationCount numeric
@attribute SentiStrength-posScore numeric
@attribute SentiStrength-negScore numeric
@attribute anger_cnn numeric
@attribute fear_cnn numeric
@attribute joy_cnn numeric
@attribute sadness_cnn numeric

@data
0.49777,0.417,0,0,0,0,0,-1,3.941,-3.133,3.395,-7.892,1,1,0,1,0,0,0,0,1,0,1.462446,1.200536,1.155929,1.603393,0.92118,0.790689,0.666431,1.197436,5.641656,2.349855,0.645132,0.340719,0.599788,1.49368,1.601112,0.553568,1.191071,0.00966,0.4625,-0.188487,0,0,0,1,-4,0.518188,0.56756,0.456653,0.389759
0.657493,0.438,0,2,0,3,0,-9,0.469,-8.256,0.669,-6.671,2,1,2,2,0,1,0,0,2,0,1.159192,0.560554,0.844586,0.789449,0.456215,0.940407,0.456571,0.719794,4.112037,1.816858,2.343509,0.205273,1.322629,0.15232,0,0.67417,1.386856,0.207212,0.660417,-1.052083,0,0,0,1,-4,0.566351,0.575149,0.348903,0.640285
0.46592,0.542,0,0,0,0,0,0,1.026,-0.495,3.579,-3.967,0,0,0,0,0,0,0,0,0,0,0.691829,0.32742,0.786797,0.64107,0.273785,0.279571,0.254983,0.463483,2.471857,0.860586,0.462631,0,0.647385,1.626962,1.908773,0.371545,1.088122,2.040344,0.291667,0,0,0,0,1,-4,0.535652,0.472102,0.314357,0.483043
0.571157,0.583,0,1,0,1,0,-5,2.215,-3.724,0.898,-6.704,1,1,2,1,0,0,1,0,3,1,0.497968,0.48076,0.324023,0.467832,0.403675,0.247631,0.440355,0.584896,1.905543,1.247473,1.111188,0.410244,2.972852,0.063325,0,0.195604,0,0.210432,0.242708,-0.604167,0,0,0,1,-4,0.569788,0.519161,0.375112,0.5302
0.261579,0.292,0,1,0,1,0,-2,2.63,-1.307,15.548,-4.056,1,0,0,1,0,0,0,0,1,0,0.860605,1.153067,0.694148,0.816749,0.87442,0.52937,0.519467,0.951533,3.626327,2.393105,0.251756,0.651649,0.156796,4.19736,3.407651,0.054999,2.755266,3.603366,0,-1.242468,0,0,0,4,-4,0.298049,0.293879,0.479794,0.434232
0.189334,0.188,0,1,0,1,0,-2,2.63,-1.307,15.548,-2.52,1,0,0,1,0,0,0,0,1,0,0.860605,1.153067,0.694148,0.816749,0.87442,0.52937,0.519467,0.951533,3.626327,2.393105,0.251756,0.651649,0.156796,2.253637,3.407651,0.054999,2.755266,3.603366,0,-1.242468,0,0,0,4,-4,0.297605,0.235754,0.528319,0.413549
0.72137,0.604,2,3,1,1,3,-2,2.572,-4.954,3.281,-3.739,0,1,0,1,0,0,0,0,1,0,0.651392,0.827795,0.447524,0.558149,1.070013,0.490314,0.440578,0.920861,2.784838,2.467288,0.211412,0.036221,1.437897,1.695284,1.441245,0.22451,1.388142,0.00966,1.470833,-0.633333,0,0,0,2,-3,0.399647,0.759083,0.356177,0.480832
0.558248,0.729,0,1,0,1,1,-3,2.089,-2.514,1.296,-5.923,1,0,1,1,0,1,0,0,1,0,0.577759,0.740732,0.368543,0.604636,0.595309,0.462078,0.210114,1.134629,2.065345,2.265276,1.761895,0.086067,1.070132,2.081938,0.021856,0.254366,0.536672,0.686042,0.306548,-0.533333,0,0,1,1,-4,0.517905,0.496871,0.252154,0.510605
0.50454,0.625,0,1,0,1,1,-3,2.089,-2.514,1.296,-4.387,1,0,1,1,0,1,0,0,1,0,0.577759,0.740732,0.368543,0.604636,0.595309,0.462078,0.210114,1.134629,2.065345,2.265276,1.761895,0.086067,1.070132,0.138215,0.021856,0.254366,0.536672,0.686042,0.306548,-0.533333,0,0,1,1,-4,0.493147,0.4639,0.23682,0.505906
0.783795,0.825,1,3,0,3,0,-6,2.034,-1.609,3.222,-3.075,1,1,1,3,0,2,0,0,3,0,0.436812,0.498922,0.374215,0.470627,0.586764,0.238984,0.23087,0.558861,1.816328,1.491494,0,0.270539,0.782102,3.39648,0.465685,0.928202,0.509873,0.552224,0.592708,-1.541667,0,0,0,2,-4,0.340853,0.835174,0.486434,0.478836
0.965022,0.938,1,3,0,2,1,-4,0.342,-7.092,1.305,-5.789,1,1,1,1,1,1,1,1,1,1,1.159513,0.599192,0.925645,1.906957,0.255937,1.220981,0.314488,0.339973,3.446143,1.053197,0.666582,0,0.546089,5.871751,0.762672,0.664922,0.24372,0,0.711786,-0.3,0,0,0,1,-4,0.621905,0.851742,0.41892,0.751563
0.567546,0.333,1,0,1,1,2,-4,1.519,-2.92,0.161,-11.881,1,0,1,0,0,0,0,1,1,0,0.82024,0.705842,0.523993,0.583383,0.90242,0.440709,0.499804,1.558508,2.91876,2.334834,2.458005,3.058225,2.109366,0.132795,0,0.573496,1.8274,0.591986,1.046875,-0.504167,0,0,0,2,-4,0.599608,0.595319,0.216702,0.622376
0.452728,0.208,1,0,1,1,2,-4,1.519,-2.92,0.161,-6.19,1,0,1,0,0,0,0,1,1,0,0.82024,0.705842,0.523993,0.583383,0.90242,0.440709,0.499804,1.558508,2.91876,2.334834,2.458005,3.058225,0.986798,0.132795,0,0.144673,1.8274,0.591986,1.046875,-0.504167,0,0,0,2,-2,0.529509,0.455221,0.298784,0.483549
0.495106,0.479,1,1,1,3,0,-12,2.795,-4.542,0.881,-13.115,3,0,3,1,0,1,0,0,3,1,0.910497,0.623592,1.031926,0.986181,0.656949,0.44393,0.427188,0.527926,3.468085,1.617698,1.717604,0.220347,2.992541,0.163672,0,0.648024,0.650076,0,0,-2.043254,0,0,0,2,-4,0.57701,0.42041,0.328374,0.620912
0.486628,0.458,1,1,1,3,0,-12,2.795,-4.542,0.881,-9.505,3,0,3,1,0,1,0,0,3,1,0.910497,0.623592,1.031926,0.986181,0.656949,0.44393,0.427188,0.527926,3.468085,1.617698,1.717604,0.220347,1.747074,0.163672,0,0.170411,0.650076,0,0,-2.043254,0,0,0,2,-3,0.380947,0.448,0.389715,0.382659
0.498707,0.354,2,2,2,1,0,-5,2.649,-4.233,2.757,-6.05,1,0,1,2,0,1,0,1,2,2,1.03501,0.881085,0.81786,0.955064,0.784251,0.449705,0.426308,1.253425,3.99033,2.960508,0.38022,2.189792,2.502209,0.056755,0.448861,0.103025,0.691056,0.392519,1.498345,-0.911607,0,0,0,1,-4,0.468325,0.486888,0.560489,0.503704
0.373944,0.458,0,2,0,1,2,-3,4.885,-1.334,8.789,-4.514,0,1,0,1,0,1,0,0,1,0,0.998463,0.936079,0.643953,0.832472,1.19115,0.551567,0.468819,1.867477,3.275651,3.808698,0.983193,0.061206,1.454092,0.702153,2.054041,0.030216,0.179296,5.047498,0.522917,-0.09697,0,0,0,2,-5,0.378212,0.346468,0.611105,0.361246
0.358716,0.271,0,0,0,0,0,0,2.658,-1.083,1.402,-2.696,0,1,0,0,0,0,0,0,0,1,0.428276,0.509577,0.224202,0.242474,0.582382,0.131053,0.276883,0.511549,1.174607,1.64432,0,0,0,1.063296,0,0,1.684047,0,0.675,-0.027564,0,0,0,2,-1,0.513628,0.340655,0.495999,0.47257
0.448111,0.458,5,2,3,2,9,-7,3.532,-2.432,2.429,-7.181,0,1,3,0,1,0,1,1,4,1,1.608107,0.887235,1.761581,1.582668,0.771838,0.852991,0.715326,1.313437,5.71187,2.607191,1.678323,0.159984,0.865485,0.420855,0.344825,0,0.998936,0.300826,6.562597,-0.5625,0,0,0,2,-4,0.460535,0.351887,0.618124,0.418806
0.398438,0.458,2,1,2,1,1,0,8.453,-1.693,4.224,-3.059,0,2,0,1,2,1,1,1,0,2,0.892215,0.684111,0.957546,0.898414,0.447134,0.315106,0.266335,0.713734,3.586556,2.028276,0.937011,0.723693,0.607569,2.07866,0.927763,1.229422,1.801926,2.494175,1.30362,-0.201198,0,0,0,1,-3,0.419088,0.389679,0.403334,0.350515
0.581974,0.625,0,1,0,1,0,-1,0.929,-4.215,2.148,-3.482,0,0,0,1,1,0,0,0,1,1,0.786898,1.311991,0.630469,0.693911,1.11688,0.639196,0.533998,0.82976,3.110338,1.848141,0.627157,0.168931,0.732022,1.39092,1.476246,1.345017,0.394895,0.014979,0.620969,-0.229167,0,0,0,2,-1,0.50226,0.630686,0.42371,0.574751
0.458981,0.25,2,1,1,1,3,0,7.179,-2.21,1.44,-5.655,0,0,0,0,0,0,0,0,0,1,0.793382,1.467158,0.486685,0.702235,1.248786,0.334683,0.681025,1.949564,3.280977,3.740248,1.694833,1.391052,0.521812,1.804791,1.01134,0.362404,0.451101,1.613937,0.533532,-0.095833,0,0,0,2,-1,0.401322,0.428264,0.277691,0.503587
0.407947,0.208,4,0,3,0,4,0,2.143,-2.981,1.917,-3.661,0,2,0,0,2,0,1,1,0,2,0.561969,0.562619,0.553241,0.613913,0.34751,0.365584,0.188945,0.839216,2.412934,1.772929,0.552237,1.70102,0.963107,0.025199,0.585455,0.330631,1.665671,1.397076,0.42803,-0.3125,0,0,0,2,-1,0.494852,0.36988,0.355635,0.484663
0.60658,0.583,0,0,0,0,0,0,1.06,-1.138,0.735,-8.852,0,0,0,0,0,0,0,0,0,2,0.67834,0.630533,0.355368,0.447208,0.411041,0.163045,0.424247,0.909062,1.894899,1.555686,1.05045,0.468143,3.998803,0,0.394469,0.84457,0.170509,1.953441,0.425,0,0,0,0,1,-4,0.6863,0.673386,0.320849,0.599807
0.51595,0.479,0,0,0,0,0,0,1.06,-1.138,0.735,-3.161,0,0,0,0,0,0,0,0,0,2,0.67834,0.630533,0.355368,0.447208,0.411041,0.163045,0.424247,0.909062,1.894899,1.555686,1.05045,0.468143,2.876234,0,0.394469,0.415748,0.170509,1.953441,0.425,0,0,0,0,1,-1,0.610741,0.57681,0.374845,0.452972
0.503322,0.686,2,0,1,1,3,-2,2.809,-2.571,2.106,-6.052,0,0,0,0,0,0,0,0,0,0,1.677737,0.610699,1.554771,1.359932,0.407788,0.777281,0.530357,0.807225,4.854666,1.49505,1.338737,0.429858,2.758051,1.861041,0.099135,0.709006,1.192676,0,1.722917,-0.354167,0,0,0,2,-1,0.437405,0.54037,0.357309,0.463553
0.378949,0.491,2,0,1,1,3,-2,2.809,-2.571,2.106,-3.779,0,0,0,0,0,0,0,0,0,0,1.677737,0.610699,1.554771,1.359932,0.407788,0.777281,0.530357,0.807225,4.854666,1.49505,1.338737,0.429858,2.211962,0.602234,0.099135,0.525306,1.192676,0,1.722917,-0.354167,0,0,0,2,-1,0.358319,0.395467,0.411125,0.404696
0.684163,0.52,0,4,0,2,0,-7,2.383,-6.334,3.495,-5.117,0,2,0,1,0,2,0,0,3,0,1.055956,0.757048,0.987338,1.055883,0.559531,0.703251,0.455734,0.766812,4.389548,1.908422,0.772704,0.169779,0.185954,1.584566,0.310353,0.43019,0.664363,1.319285,1.250947,-0.833333,0,0,1,1,-4,0.417691,0.656183,0.518626,0.556495
0.42132,0.583,0,1,0,1,0,-6,0.75,-4.248,4.178,-1.715,0,0,0,3,0,0,1,0,1,0,0.754775,0.612947,0.566586,0.638431,0.319711,0.258292,0.268064,0.475959,2.217526,0.955797,2.052683,0.426367,0.138658,1.687372,0.266558,0.046372,0.885188,0,0.201667,-1.845635,0,0,1,1,-3,0.49074,0.345466,0.303699,0.442186
0.569919,0.562,1,0,0,0,0,0,0.836,-1.871,0.622,-3.314,0,0,0,0,0,0,0,0,0,0,0.230385,0.314089,0.054434,0.179423,0.207019,0.174166,0.137394,0.263052,0.71212,0.574922,1.316475,0.249983,0.335586,0.796008,0.370255,0,0.829271,0,0.211607,0,0,0,0,2,-3,0.530385,0.563831,0.285954,0.546946
0.459788,0.333,1,0,0,0,0,0,0.836,-1.871,0.622,-1.412,0,0,0,0,0,0,0,0,0,0,0.230385,0.314089,0.054434,0.179423,0.207019,0.174166,0.137394,0.263052,0.71212,0.574922,1.316475,0.249983,0,0.796008,0.370255,0,0.05096,0,0.211607,0,0,0,0,2,-1,0.438043,0.421109,0.284169,0.506981
0.540007,0.604,1,2,1,1,1,-4,1.992,-4.859,4.077,-8.885,1,0,0,0,0,0,1,1,1,2,2.489193,0.709854,1.430317,2.174372,0.399959,1.913949,0.504649,0.793859,5.529533,1.744566,0.237025,2.098376,0.511043,1.851456,0,1.70034,1.757945,1.038438,1.181548,-1.49053,0,0,0,2,-5,0.498701,0.690166,0.384895,0.457917
0.351301,0.542,1,2,1,1,1,-4,1.992,-4.859,4.077,-8.885,1,0,0,0,0,0,1,1,1,2,1.985535,0.67774,1.02123,1.531282,0.393804,1.464785,0.432798,0.777034,4.596568,1.73228,0.237025,2.098376,0.511043,0.209657,0,1.70034,1.757945,1.038438,1.181548,-1.49053,0,0,0,2,-5,0.425701,0.44821,0.429417,0.376906
0.355099,0.333,0,1,0,0,0,0,0.975,-1.162,0.365,-8.469,0,1,0,0,0,0,0,0,0,1,0.714648,0.398544,0.687818,0.63532,0.182111,0.422366,0.263312,0.228144,2.840102,0.577509,0.119854,0.296272,1.569094,0.048524,0.125975,0.583949,0.524569,0.0047,0.806502,-0.75,0,0,1,1,-4,0.523807,0.396443,0.435391,0.509232
0.244743,0.312,0,1,0,0,0,0,0.975,-1.162,0.365,-2.778,0,1,0,0,0,0,0,0,0,1,0.714648,0.398544,0.687818,0.63532,0.182111,0.422366,0.263312,0.228144,2.840102,0.577509,0.119854,0.296272,0.446526,0.048524,0.125975,0.155127,0.524569,0.0047,0.806502,-0.75,0,0,1,1,-1,0.482331,0.265658,0.515933,0.389162
0.531567,0.729,1,2,1,2,0,-4,2.746,-2.459,4.043,-3.059,2,1,1,3,0,1,0,0,3,1,0.772749,1.041365,0.710353,0.768965,0.694188,0.451062,0.495804,0.689525,3.564948,2.2107,1.190632,0.714514,0.299068,4.67291,1.163965,0.173706,0.925088,0.724476,0.478175,-1.886562,0,0,0,2,-4,0.540081,0.514572,0.315813,0.506203
0.441652,0.521,1,2,1,2,0,-4,2.746,-2.459,4.043,-1.523,2,1,1,3,0,1,0,0,3,1,0.772749,1.041365,0.710353,0.768965,0.694188,0.451062,0.495804,0.689525,3.564948,2.2107,1.190632,0.714514,0.299068,2.729187,1.163965,0.173706,0.925088,0.724476,0.478175,-1.886562,0,0,0,2,-4,0.547871,0.427932,0.323735,0.500521
0.631414,0.833,4,1,1,1,3,0,1.985,-5.412,1.132,-3.425,0,0,0,1,0,0,0,0,1,0,1.858422,1.201263,1.533733,1.368498,0.887767,0.888401,0.804104,0.889209,5.772449,2.3105,0.925859,0.050193,0.882669,1.5821,0.082108,0.143193,0.320249,0.160952,3.697304,-0.3125,0,0,0,2,-3,0.458824,0.622604,0.414921,0.55362
0.661364,0.917,0,1,0,1,0,-3,0.742,-0.692,0.174,-2.097,1,1,1,1,0,1,0,0,1,0,0.0366,0.126568,0.024457,0.045496,0.078504,0.00848,0.044545,0.135588,0.164849,0.521362,0.295737,0.061206,0.230911,0.053112,1.31343,1.89034,0.012617,0,0.44375,-0.25,0,0,0,1,-4,0.496605,0.69794,0.368249,0.688287
0.52529,0.688,0,1,0,1,0,-3,0.742,-0.692,0.174,-0.967,1,1,1,1,0,1,0,0,1,0,0.0366,0.126568,0.024457,0.045496,0.078504,0.00848,0.044545,0.135588,0.164849,0.521362,0.028972,0.061206,0.230911,0.053112,1.31343,0,0.012617,0,0.44375,-0.25,0,0,0,1,-3,0.519729,0.502513,0.424956,0.513882
0.530141,0.667,0,1,0,1,0,-6,0,-2.095,0.417,-0.606,0,0,0,0,0,0,0,0,0,0,0.692826,0.105214,0.725457,0.510141,0.025071,0.698278,0.087202,0.013573,1.793298,0.04794,0.754444,0,0.279798,1.011946,0.206625,0,0,0,0,-0.625,0,0,0,1,-4,0.439094,0.487088,0.394497,0.657474
0.458791,0.542,1,1,0,2,0,-4,1.748,-5.087,1.876,-7.359,0,1,0,0,0,0,0,0,0,0,2.051498,0.855608,1.348583,1.304731,0.457512,1.036551,0.3935,0.889023,4.829119,1.831033,2.378318,1.035275,3.728526,1.700635,0.973865,1.85426,0.677479,2.072083,0.166667,-0.729167,0,0,0,1,-3,0.60095,0.448509,0.40246,0.435259
0.40026,0.521,1,1,0,2,0,-4,1.748,-5.087,1.876,-5.13,0,1,0,0,0,0,0,0,0,0,2.051498,0.855608,1.348583,1.304731,0.457512,1.036551,0.3935,0.889023,4.829119,1.831033,2.378318,1.035275,2.398318,1.700635,0.973865,0.73229,0.677479,2.072083,0.166667,-0.729167,0,0,0,1,-3,0.565281,0.350171,0.502831,0.375705
0.508971,0.583,3,1,1,0,2,-3,2.627,-2.63,1.917,-1.75,0,0,1,0,0,1,0,0,0,2,1.088566,0.5134,0.344712,0.832056,0.527437,0.50446,0.344343,1.175964,2.242131,1.775427,0.681827,2.201613,0.244018,2.795696,0,0,0.248647,0,1.298197,0,0,0,1,1,-3,0.375682,0.400586,0.330386,0.454397
0.501425,0.708,4,0,3,0,1,0,1.733,-4.477,4.988,-11.683,0,0,0,0,0,0,0,0,1,1,0.639294,0.734271,0.634875,0.709023,0.392373,0.415969,0.302181,0.758605,3.792867,2.1215,0.45563,3.561116,0.5317,2.812313,0.912605,3.26963,0.907953,1.056853,2.802937,-1.803058,0,0,0,1,-4,0.404438,0.531437,0.53751,0.49877
0.551501,0.771,0,2,0,2,0,-5,1.013,-3.319,1.065,-5.276,0,0,0,1,0,1,0,0,2,0,1.193406,0.599196,0.786426,0.982581,0.617613,0.660511,0.422265,0.658574,4.151979,1.66398,0.750933,0,1.831436,1.281146,0,1.264302,0.031341,0.371561,0.375,-0.900167,0,0,0,1,-3,0.594209,0.542693,0.389184,0.526309
0.363641,0.188,0,0,0,0,0,0,1.064,-0.6,0.628,-0.979,0,0,0,0,0,0,0,0,0,0,0.328467,0.292248,0.33141,0.330244,0.354721,0.178616,0.204984,0.303081,1.481416,0.9089,0.18259,0.220347,0.015658,0.053455,0,0,0,0,0.292956,-0.166667,0,0,0,2,-1,0.415609,0.358782,0.516212,0.496368
0.524601,0.396,2,1,0,1,0,0,2.049,-5.189,2.009,-3.602,0,1,0,1,0,1,0,0,1,1,1.079892,1.195714,0.708808,1.011816,0.634641,0.823062,0.563768,1.183001,4.987312,2.672172,1.294906,0.649019,0.699409,1.902484,0.667449,0.036737,0.504111,1.036361,1.442059,-0.53125,0,0,1,1,-1,0.559965,0.511329,0.415804,0.414418
0.524476,0.292,1,4,0,2,0,-2,8.622,-3.719,4.756,-6.022,1,0,0,1,0,1,0,1,2,1,0.960216,0.898346,0.673176,0.946131,0.727377,0.638059,0.415871,1.391344,3.786112,2.958154,1.402349,0.666065,0.110686,5.948776,1.619411,0.546471,0.855854,1.386345,0.24628,-2.307197,0,0,1,1,-4,0.420336,0.501762,0.340618,0.404236
0.655678,0.562,0,2,0,3,0,-10,0.916,-5.045,1.366,-5.019,3,0,3,2,0,2,0,0,3,1,0.099112,0.133555,0.118613,0.116988,0.152036,0.092509,0.064319,0.138798,0.692134,0.404914,1.089394,0.005767,2.020344,0,0.519625,0.289003,0.301088,0,0,-1.78244,0,0,0,1,-4,0.541722,0.572826,0.189272,0.574113
0.544201,0.417,1,2,1,1,5,-3,3.638,-2.399,1.279,-6.176,0,1,0,1,0,0,0,0,1,0,1.497332,1.271226,1.205089,1.254546,1.117496,0.688056,1.039127,1.311089,6.083852,3.436946,0.569179,0.245539,1.486569,1.724992,0.460949,2.056397,0.465987,2.345623,1.19215,-0.397222,0,0,0,1,-3,0.498041,0.570159,0.33167,0.574553
0.388552,0.333,1,1,1,1,0,-3,2.465,-2.299,2.166,-3.779,1,0,1,2,1,2,0,0,1,1,0.73099,0.642786,0.709926,0.640359,0.563767,0.300449,0.348709,0.867493,3.123549,1.975605,1.145691,0,1.437238,0.156123,0.665147,0.103025,0.4352,0.166457,1.343245,-1.672024,0,0,0,1,-4,0.508673,0.316541,0.334226,0.377468
0.635146,0.375,3,2,2,1,4,-5,2.616,-2.429,1.951,-2.991,1,2,1,2,1,1,0,2,2,2,0.599537,0.346946,0.678235,0.602322,0.261821,0.255776,0.254614,0.488399,2.556558,1.191744,0.089838,0.232554,1.245937,1.042602,3.53144,0.07716,0.449718,1.41689,0.875,-0.7375,0,0,0,1,-4,0.584551,0.662875,0.403914,0.541137
0.603503,0.52,2,1,2,0,5,-2,6.037,-2.91,4.487,-3.771,1,1,1,1,0,1,0,1,2,2,0.815495,1.160997,0.603885,0.784145,1.452755,0.513736,0.704618,1.231882,2.98837,3.117146,0.266176,2.618508,1.082248,4.049767,0.124434,0.386408,0.377092,2.520835,1.17381,-2.389583,0,0,2,3,-3,0.406821,0.727345,0.601424,0.489684
