@relation 'anger_test-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.AllFilter-weka.filters.unsupervised.attribute.TweetToLexiconFeatureVector-F-D-R-A-T-L-N-P-J-H-Q-red-stan-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-I1-U-tokenizerweka.core.tokenizers.TweetNLPTokenizer-weka.filters.unsupervised.attribute.TweetToSentiStrengthFeatureVector-L/home/prachuryya/wekafiles/packages/AffectiveTweets/lexicons/SentiStrength/english-red-stan-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-I1-U-tokenizerweka.core.tokenizers.TweetNLPTokenizer-weka.filters.MultiFilter-Fweka.filters.AllFilter-Fweka.filters.unsupervised.attribute.TweetToLexiconFeatureVector -F -D -R -A -T -L -N -P -J -H -Q -red -stan -stemmer weka.core.stemmers.NullStemmer -stopwords-handler \"weka.core.stopwords.Null \" -I 1 -U -tokenizer \"weka.core.tokenizers.TweetNLPTokenizer \"-Fweka.filters.unsupervised.attribute.TweetToSentiStrengthFeatureVector -L /home/prachuryya/wekafiles/packages/AffectiveTweets/lexicons/SentiStrength/english -red -stan -stemmer weka.core.stemmers.NullStemmer -stopwords-handler \"weka.core.stopwords.Null \" -I 1 -U -tokenizer \"weka.core.tokenizers.TweetNLPTokenizer \"-weka.filters.unsupervised.attribute.Remove-R1_predicted'

@attribute predictedscore numeric
@attribute score numeric
@attribute mpqa-posCount numeric
@attribute mpqa-negCount numeric
@attribute BingLiu-posCount numeric
@attribute BingLiu-negCount numeric
@attribute AFINN-posScore numeric
@attribute AFINN-negScore numeric
@attribute S140-posScore numeric
@attribute S140-negScore numeric
@attribute NRC-Hash-Sent-posScore numeric
@attribute NRC-Hash-Sent-negScore numeric
@attribute NRC-10-anger numeric
@attribute NRC-10-anticipation numeric
@attribute NRC-10-disgust numeric
@attribute NRC-10-fear numeric
@attribute NRC-10-joy numeric
@attribute NRC-10-sadness numeric
@attribute NRC-10-surprise numeric
@attribute NRC-10-trust numeric
@attribute NRC-10-negative numeric
@attribute NRC-10-positive numeric
@attribute NRC-10-Expanded-anger numeric
@attribute NRC-10-Expanded-anticipation numeric
@attribute NRC-10-Expanded-disgust numeric
@attribute NRC-10-Expanded-fear numeric
@attribute NRC-10-Expanded-joy numeric
@attribute NRC-10-Expanded-sadness numeric
@attribute NRC-10-Expanded-surprise numeric
@attribute NRC-10-Expanded-trust numeric
@attribute NRC-10-Expanded-negative numeric
@attribute NRC-10-Expanded-positive numeric
@attribute NRC-Hash-Emo-anger numeric
@attribute NRC-Hash-Emo-anticipation numeric
@attribute NRC-Hash-Emo-disgust numeric
@attribute NRC-Hash-Emo-fear numeric
@attribute NRC-Hash-Emo-joy numeric
@attribute NRC-Hash-Emo-sadness numeric
@attribute NRC-Hash-Emo-surprise numeric
@attribute NRC-Hash-Emo-trust numeric
@attribute SentiWordnet-posScore numeric
@attribute SentiWordnet-negScore numeric
@attribute Emoticons-posScore numeric
@attribute Emoticons-negScore numeric
@attribute Negation-negationCount numeric
@attribute SentiStrength-posScore numeric
@attribute SentiStrength-negScore numeric
@attribute anger_cnn numeric
@attribute fear_cnn numeric
@attribute joy_cnn numeric
@attribute sadness_cnn numeric

@data
0.487252,0.583,2,0,2,0,5,0,3.683,-0.445,5.334,-1.642,0,1,0,0,2,0,1,1,0,3,0.306031,0.352134,0.190981,0.254751,0.337128,0.169382,0.196252,0.532392,1.293575,1.292842,0.073887,0,0.088796,0.329142,3.043843,1.11708,0.07321,0.397491,1.91875,0,0,0,0,2,-1,0.335425,0.373477,0.425204,0.417646
0.49004,0.5,0,0,1,0,3,0,2.089,-1.205,4.709,-1.298,0,0,0,0,0,0,0,0,0,0,0.975261,0.828297,0.676952,0.757215,0.978732,0.603922,0.562934,1.251393,3.836327,2.464398,0.189129,0.469769,1.147506,0.053112,3.45329,0.447419,0.02032,0.906997,0.405952,-0.104167,0,0,0,3,-1,0.48964,0.296072,0.438973,0.421428
0.650971,0.86,1,1,1,1,2,-3,3.102,-1.294,1.572,-0.734,1,0,1,1,2,1,1,0,1,2,0.22884,0.1247,0.160913,0.186964,0.150932,0.154871,0.102323,0.290163,0.811973,0.499114,0.796523,0.447299,0.16897,0.146213,0.155255,0,1.076112,0,0.020833,-0.416667,0,0,0,3,-1,0.408227,0.27696,0.72241,0.439393
0.454669,0.521,1,0,1,0,3,0,2.707,-0.4,2.788,-0.399,0,0,0,0,0,0,0,0,0,0,0.197887,0.300135,0.121134,0.137716,0.697436,0.067933,0.215971,0.309514,0.665683,1.134988,0.133186,0,0.712675,0,1.246835,0.041455,0.696795,0.28358,0.3375,-0.007143,0,0,0,1,-1,0.22685,0.332702,0.467832,0.365864
0.423597,0.042,1,3,1,5,2,-16,4.033,-6.544,4.191,-5.713,0,0,0,0,1,0,1,1,2,1,2.804994,0.767519,2.573806,1.923863,0.453583,1.383733,0.497336,0.831606,7.422084,1.671649,3.950815,0,0.654291,0.10145,1.799318,0.219653,0,0.328803,0.59375,-1.811364,0,0,2,5,-3,0.706877,0.502133,0.498071,0.40774
0.356482,0.417,1,0,1,0,2,0,1.882,-0.44,0.467,-0.459,0,1,0,0,1,0,1,1,0,1,0.180539,0.198457,0.137386,0.144593,0.112059,0.096013,0.065046,0.238988,0.673454,0.355629,0.307433,0,0.054813,0.156123,0.423044,0.460075,0,0,0.549702,0,0,0,0,2,-1,0.47085,0.454775,0.285296,0.540587
0.238775,0.16,2,5,1,5,0,-10,3.709,-3.658,2.687,-8.477,2,0,2,1,0,2,0,0,6,0,1.149769,1.106154,0.738696,0.799033,0.994386,0.367888,0.546878,1.385135,3.940129,3.867491,2.936572,0.321234,4.202341,0.244635,1.629287,1.518129,0.122278,0.810681,1.802643,-1.516667,0,0,0,3,-4,0.526879,0.400539,0.303578,0.514068
0.648098,0.75,1,0,1,0,3,0,2.764,-0.436,3.069,0,0,3,0,0,3,0,2,1,0,3,0.335411,0.413249,0.133863,0.153094,0.744455,0.075764,0.243499,0.385471,0.774555,1.128168,0,0.023775,0.405751,0,2.921594,0.244519,1.133198,0,0.8375,-0.013393,0,0,0,2,-1,0.262043,0.28597,0.663192,0.361843
0.739887,0.688,1,0,1,0,3,0,4.759,-0.436,4.569,0,0,3,0,0,3,0,2,1,0,3,0.367356,0.701604,0.148937,0.170759,1.388003,0.127565,0.372788,0.466095,0.879837,1.71134,0,0.023775,0.405751,0,5.083564,0.244519,1.133198,0,0.8375,-0.013393,0,0,0,2,-1,0.248748,0.262913,0.740432,0.354136
0.514226,0.34,1,0,1,0,0,0,4.702,-0.588,14.384,-0.875,0,0,0,0,0,0,0,0,0,1,0.87822,0.783638,1.054968,0.931848,0.776653,0.353775,0.296804,1.11253,3.274745,2.655597,0.149943,1.745126,0.794268,0.236477,2.990994,0.356841,0.087375,0.9647,0.0625,-0.229167,0,0,0,3,-1,0.365962,0.328892,0.502343,0.382216
