@relation 'anger_test-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.AllFilter-weka.filters.unsupervised.attribute.TweetToLexiconFeatureVector-F-D-R-A-T-L-N-P-J-H-Q-red-stan-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-I1-U-tokenizerweka.core.tokenizers.TweetNLPTokenizer-weka.filters.unsupervised.attribute.TweetToSentiStrengthFeatureVector-L/home/prachuryya/wekafiles/packages/AffectiveTweets/lexicons/SentiStrength/english-red-stan-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-I1-U-tokenizerweka.core.tokenizers.TweetNLPTokenizer-weka.filters.MultiFilter-Fweka.filters.AllFilter-Fweka.filters.unsupervised.attribute.TweetToLexiconFeatureVector -F -D -R -A -T -L -N -P -J -H -Q -red -stan -stemmer weka.core.stemmers.NullStemmer -stopwords-handler \"weka.core.stopwords.Null \" -I 1 -U -tokenizer \"weka.core.tokenizers.TweetNLPTokenizer \"-Fweka.filters.unsupervised.attribute.TweetToSentiStrengthFeatureVector -L /home/prachuryya/wekafiles/packages/AffectiveTweets/lexicons/SentiStrength/english -red -stan -stemmer weka.core.stemmers.NullStemmer -stopwords-handler \"weka.core.stopwords.Null \" -I 1 -U -tokenizer \"weka.core.tokenizers.TweetNLPTokenizer \"-weka.filters.unsupervised.attribute.Remove-R1_predicted'

@attribute predictedscore numeric
@attribute score numeric
@attribute mpqa-posCount numeric
@attribute mpqa-negCount numeric
@attribute BingLiu-posCount numeric
@attribute BingLiu-negCount numeric
@attribute AFINN-posScore numeric
@attribute AFINN-negScore numeric
@attribute S140-posScore numeric
@attribute S140-negScore numeric
@attribute NRC-Hash-Sent-posScore numeric
@attribute NRC-Hash-Sent-negScore numeric
@attribute NRC-10-anger numeric
@attribute NRC-10-anticipation numeric
@attribute NRC-10-disgust numeric
@attribute NRC-10-fear numeric
@attribute NRC-10-joy numeric
@attribute NRC-10-sadness numeric
@attribute NRC-10-surprise numeric
@attribute NRC-10-trust numeric
@attribute NRC-10-negative numeric
@attribute NRC-10-positive numeric
@attribute NRC-10-Expanded-anger numeric
@attribute NRC-10-Expanded-anticipation numeric
@attribute NRC-10-Expanded-disgust numeric
@attribute NRC-10-Expanded-fear numeric
@attribute NRC-10-Expanded-joy numeric
@attribute NRC-10-Expanded-sadness numeric
@attribute NRC-10-Expanded-surprise numeric
@attribute NRC-10-Expanded-trust numeric
@attribute NRC-10-Expanded-negative numeric
@attribute NRC-10-Expanded-positive numeric
@attribute NRC-Hash-Emo-anger numeric
@attribute NRC-Hash-Emo-anticipation numeric
@attribute NRC-Hash-Emo-disgust numeric
@attribute NRC-Hash-Emo-fear numeric
@attribute NRC-Hash-Emo-joy numeric
@attribute NRC-Hash-Emo-sadness numeric
@attribute NRC-Hash-Emo-surprise numeric
@attribute NRC-Hash-Emo-trust numeric
@attribute SentiWordnet-posScore numeric
@attribute SentiWordnet-negScore numeric
@attribute Emoticons-posScore numeric
@attribute Emoticons-negScore numeric
@attribute Negation-negationCount numeric
@attribute SentiStrength-posScore numeric
@attribute SentiStrength-negScore numeric
@attribute anger_cnn numeric
@attribute fear_cnn numeric
@attribute joy_cnn numeric
@attribute sadness_cnn numeric

@data
0.739204,0.667,1,1,1,0,2,0,1.96,-10.127,4.047,-6.725,1,0,0,0,0,0,0,0,2,1,1.329585,1.648,1.561249,1.305395,1.510843,1.065429,0.657095,1.5975,4.86537,3.245308,1.003462,0.570824,0.82155,2.894157,1.593563,2.687088,0.085535,0.328273,1.808827,-0.470833,0,0,0,3,-4,0.643256,0.607524,0.305737,0.770489
0.576551,0.458,1,1,1,0,2,0,1.96,-5.128,4.047,-2.595,1,0,0,0,0,0,0,0,2,1,0.957662,1.639239,1.028695,1.068591,1.510305,0.479606,0.647029,1.595567,3.888182,3.24295,1.003462,0.570824,0.82155,2.894157,1.593563,0.470148,0.085535,0.328273,1.808827,-0.470833,0,0,0,3,-1,0.626404,0.547801,0.370919,0.677269
0.3584,0.396,0,2,0,2,0,-6,6.354,-4.898,4.762,-3.051,0,0,1,0,0,0,0,1,3,1,0.78953,0.960688,0.941899,0.943044,0.817482,0.309532,0.371963,0.864526,3.240509,2.406358,0.714398,0.599232,0.934346,0,2.941114,0.271033,1.604833,1.085065,0.125,-4.856241,0,0,0,2,-2,0.571478,0.296533,0.443813,0.38612
0.487528,0.271,0,0,0,1,0,-1,1.029,-3.824,0.942,-1.264,0,0,0,0,0,0,0,0,0,0,0.665425,0.263498,0.620044,0.49337,0.22913,0.35428,0.236926,0.284856,2.796637,0.652718,0.398356,0,1.367325,0.950325,0,0,0.471179,0,0.054167,-0.125,0,0,0,2,-1,0.489342,0.531673,0.466625,0.450599
0.656612,0.604,3,1,2,1,5,-2,2.135,-6.519,3.116,-2.461,2,1,1,2,2,1,1,2,1,2,0.981085,0.934644,0.693078,1.001757,0.773807,1.204947,0.47325,0.946623,3.163196,2.486416,0.592085,0.214607,0.117417,0.575669,0.980419,4.070849,0.718473,0.803681,2.91875,-1.017803,0,0,0,3,-4,0.332613,0.581601,0.580241,0.653386
0.45609,0.271,1,1,1,1,2,0,1.991,-3.028,3.584,-3.103,0,0,0,0,1,0,0,1,0,1,1.071772,0.72045,0.732167,0.838431,0.672644,0.634459,0.504451,1.080705,3.5889,2.207502,1.311041,0.061206,1.224264,0.308774,0.254891,0,0.320717,0,1.290774,-1.20928,0,0,1,3,-1,0.388233,0.551216,0.482539,0.518744
0.464995,0.542,0,1,0,1,0,-4,2.301,-7.642,2.88,-8.586,0,1,1,2,0,2,1,1,3,1,1.331308,1.01922,0.684946,1.210439,0.771632,1.394514,0.669062,1.027116,4.808224,2.475092,1.13403,2.680579,1.143887,0,0,1.614446,1.473719,0,0.28466,-0.604167,0,0,1,1,-4,0.60373,0.427798,0.210763,0.488734
0.450529,0.708,3,1,1,1,3,-2,1.412,-6.637,1.636,-7.799,0,0,0,0,0,0,0,0,0,1,1.417171,1.120854,0.916217,1.172618,0.579958,1.098689,0.628901,0.944381,5.790347,2.167783,2.254978,1.110018,0.44824,0.207515,0,2.731013,2.068941,0.13384,0.433469,-0.375,0,0,0,2,-4,0.397546,0.367308,0.371559,0.467946
0.489973,0.542,3,3,1,2,3,-2,3.736,-4.836,2.006,-10.559,1,1,0,2,1,3,1,3,3,2,0.832179,0.646287,0.440523,0.613819,0.415361,0.377501,0.341502,1.279576,3.157337,2.275898,0.909901,1.551977,2.352576,0.494605,0.608871,1.246055,1.78173,1.104383,2.67939,-0.879167,0,0,0,2,-3,0.508558,0.615061,0.211735,0.504611
0.561672,0.625,3,2,3,2,5,-5,4.519,-6.969,5.338,-4.825,1,0,0,0,0,1,0,1,3,1,1.589537,1.058878,1.701117,1.641977,0.810791,0.806985,0.518378,1.39539,6.473087,3.189613,0.109541,1.138866,1.169474,1.32977,2.298531,2.245875,0.868123,1.799708,1.6219,-1.835077,0,0,0,2,-1,0.501528,0.482405,0.373589,0.614039
